order_date,order_year,order_month,item_category,order_count,item_count,promo_item_count,cust_count,avg_item_revenue,avg_distance,average_item_rate,promo_item_percentage
2023-03-15,2023,3,null,64,73,28,62,null,3099.59,1.18,0.38
2023-03-15,2023,3,Chocolate,21,24,2,20,2.94,3123.21,1.2,0.08
2023-03-15,2023,3,Cookies,9,9,0,8,1.68,2423.11,1.13,0
2023-03-15,2023,3,Crisp & Snacks,163,175,0,130,3.28,3274.66,1.35,0
2023-03-15,2023,3,Other Confectionary,59,59,0,53,5.11,3362.64,1.11,0
2023-03-15,2023,3,Chocolate & Sweet Spreads,4,4,0,4,4.55,3010.25,1,0
2023-03-15,2023,3,"Cheese Crackers, Breadsticks & Dipping",8,8,0,7,2.64,4238.75,1.14,0
2023-03-16,2023,3,"Cheese Crackers, Breadsticks & Dipping",6,6,0,6,2.64,3741.33,1,0
2023-03-16,2023,3,Crisp & Snacks,129,146,0,115,2.98,2953.31,1.27,0
2023-03-16,2023,3,Cookies,18,18,0,17,1.86,3474.17,1.06,0
2023-03-16,2023,3,Other Confectionary,56,56,0,46,4.61,3393.18,1.22,0
2023-03-16,2023,3,Chocolate,29,29,4,26,3.2,4363.52,1.12,0.14
2023-03-16,2023,3,null,53,53,16,49,null,4043.45,1.08,0.3
2023-03-16,2023,3,Chocolate & Sweet Spreads,1,1,0,1,3.61,6110,1,0
